Config      m_j
R_1_1_0: -6.272e+00
R_1_1_1: -6.072e+00
R_1_1_2: -6.115e+00
R_1_1_3: -5.843e+00
R_1_1_4: -5.297e+00
R_1_2_0: -6.828e+00
R_1_2_1: -6.805e+00
R_1_2_2: -6.696e+00
R_1_2_3: -6.462e+00
R_1_2_4: -5.891e+00
R_1_3_0: -6.986e+00
R_1_3_1: -6.963e+00
R_1_3_2: -6.861e+00
R_1_3_3: -6.619e+00
R_1_3_4: -6.039e+00
R_2_1_0: -8.035e+00
R_2_1_1: -7.934e+00
R_2_1_2: -7.937e+00
R_2_1_3: -7.751e+00
R_2_1_4: -7.261e+00
R_2_2_0: -8.641e+00
R_2_2_1: -8.633e+00
R_2_2_2: -8.554e+00
R_2_2_3: -8.360e+00
R_2_2_4: -7.881e+00
R_2_3_0: -8.841e+00
R_2_3_1: -8.835e+00
R_2_3_2: -8.771e+00
R_2_3_3: -8.571e+00
R_2_3_4: -8.050e+00
R_3_1_0: -1.056e+01
R_3_1_1: -1.001e+01
R_3_1_2: -1.001e+01
R_3_1_3: -9.966e+00
R_3_1_4: -9.950e+00
R_3_2_0: -1.048e+01
R_3_2_1: -1.047e+01
R_3_2_2: -1.041e+01
R_3_2_3: -1.027e+01
R_3_2_4: -9.840e+00
R_3_3_0: -1.073e+01
R_3_3_1: -1.072e+01
R_3_3_2: -1.068e+01
R_3_3_3: -1.054e+01
R_3_3_4: -1.018e+01
